,時間戳記,照片 Picture,品牌 Brand,衣服長度 Clothes Length,服裝部位 Clothing Part,上半身 衣服種類 Top Clothing Type,下半身衣服種類 Bottom Clothing Type,價格 Price
1951,2024/11/6 下午 8:25:34,https://drive.google.com/open?id=1txdjUVy5wIlIC6B6VxrV16Fex9g5_0j4,Adidas,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",1490
1952,2024/11/6 下午 8:25:36,https://drive.google.com/open?id=1gsu6Qyj6LIALUxDsavgaoRh_8XRLD1rO,Nike,短 short,洋裝 Dress,,,1980
1953,2024/11/6 下午 8:25:53,https://drive.google.com/open?id=1HKx2qQFQn2SorzAMx82bNS0bPiGFNCiC,PAZZO,短 short,洋裝 Dress,,,590
1954,2024/11/6 下午 8:26:10,https://drive.google.com/open?id=1Zyc9szFLsRRdl3J2_3jb2Cx1afsllYLc,Puma,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",2880
1955,2024/11/6 下午 8:26:44,https://drive.google.com/open?id=1GG1Ck2mBiUpVOqKLttzksSUA9NuIV6m3,Adidas,短 short,上半身 Top,T-Shirt,,1490
1956,2024/11/6 下午 8:26:44,https://drive.google.com/open?id=1dEoRLexzEr7iHcpP8bDGDgSiC7lnqVwU,Puma,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",1880
1957,2024/11/6 下午 8:28:58,https://drive.google.com/open?id=1twp_WRkhCqGcFGcnYiNxMIzPwtMTKwiw,Adidas,短 short,上半身 Top,"背心 Vest, 運動材質 Sport Tops",,1090
1958,2024/11/6 下午 8:29:08,https://drive.google.com/open?id=14Wjz4v7FKQHGadWqF48-zeVBmT6auDKn,PAZZO,短 short,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 裙子 skirt",590
1959,2024/11/6 下午 8:29:28,https://drive.google.com/open?id=1em8fPEISiM-PLmw19nbiqnfw2DAYuLkg,PAZZO,短 short,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 裙子 skirt",590
1960,2024/11/6 下午 8:29:47,https://drive.google.com/open?id=1WJIticXhUGJVSvlClu0T5UDezVEi5uYq,PAZZO,短 short,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 裙子 skirt",590
1961,2024/11/6 下午 8:29:56,https://drive.google.com/open?id=1BWBjN4KxaMQTLhFEnywWe5PqHfNB_zgd,Adidas,長 long,下半身 Bottom,,"牛仔褲/裙 jeans / demi skirt, 褲子 pants",4290
1962,2024/11/6 下午 8:29:57,https://drive.google.com/open?id=1ToEZeguWPPJ_et4IQF1MldX-fMZNxNZS,Puma,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",4880
1963,2024/11/6 下午 8:30:06,https://drive.google.com/open?id=16lDpZpUUdZuj95ZUYzFAB2byrbX-CbFX,PAZZO,短 short,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 裙子 skirt",590
1964,2024/11/6 下午 8:30:58,https://drive.google.com/open?id=1YCOWkqrl_UHNPeiQ6QWVrMHMrcLqdqzF,Puma,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",1380
1965,2024/11/6 下午 8:31:06,https://drive.google.com/open?id=1zfj_AiG9cDJnlEO191MdCwfhxzEoAXjF,Adidas,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",1890
1966,2024/11/6 下午 8:31:20,https://drive.google.com/open?id=1X-eS33aOBaGs9BbFnP8sCfrmtFDMeVwP,PAZZO,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 裙子 skirt",790
1967,2024/11/6 下午 8:31:38,https://drive.google.com/open?id=1oq4rO7i1tvIV_5ZOT6EGK82yQfJxjyKA,PAZZO,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 裙子 skirt",790
1968,2024/11/6 下午 8:31:57,https://drive.google.com/open?id=1WwSVhT8N61b5cMIsWg63OdqLA7o1v81L,PAZZO,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 裙子 skirt",790
1969,2024/11/6 下午 8:32:02,https://drive.google.com/open?id=1BdFK5Z-fW3enN9RPB4tfmX8MrlUAAMaT,Adidas,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",1890
1970,2024/11/6 下午 8:32:48,https://drive.google.com/open?id=1B_NXu_0enHv_trpzq4TdH6iI_bFBBxla,PAZZO,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",790
1971,2024/11/6 下午 8:33:07,https://drive.google.com/open?id=1caSljxVCuipyZGYGH8yZyL1ed67SeIld,PAZZO,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",790
1972,2024/11/6 下午 8:33:24,https://drive.google.com/open?id=1kCgdjehD7UeMVmrF3TGZjm1tTwm9KHuY,PAZZO,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",790
1973,2024/11/6 下午 8:33:27,https://drive.google.com/open?id=1CrHiJ044aBKzcwFa3xIkzwgyg8j1V9S0,Adidas,短 short,上半身 Top,T-Shirt,,1690
1974,2024/11/6 下午 8:34:05,https://drive.google.com/open?id=17MZv9c_XqCYXtAHEMwH0NcVMpH04CyWs,Puma,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",1380
1975,2024/11/6 下午 8:34:10,https://drive.google.com/open?id=1iQWq1ya8Gq_8E7zP_b3MksG6V3gfFtv0,Adidas,長 long,上半身 Top,"外套 Jacket, 毛衣、針織衣 Sweater",,4890
1976,2024/11/6 下午 8:34:43,https://drive.google.com/open?id=18LWfKvonakmIjA1ZQpocLK_fN2hwWu5C,PAZZO,短 short,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",490
1977,2024/11/6 下午 8:34:45,https://drive.google.com/open?id=1m55AtrOCKTI1GJhWLD2hUcYhKB1X4nTY,Adidas,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",1890
1978,2024/11/6 下午 8:34:59,https://drive.google.com/open?id=1pzt6Aauu01QJPIEsalnULcC1i2CYaXSg,Puma,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",1480
1979,2024/11/6 下午 8:35:00,https://drive.google.com/open?id=1SFfbnWjIkn5inJ8YD4n9yvn3F1Yar5NI,PAZZO,短 short,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",490
1980,2024/11/6 下午 8:35:51,https://drive.google.com/open?id=11K2op8HyzeONaG3d6So_xFG0VkPp-EtD,PAZZO,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",790
1981,2024/11/6 下午 8:35:55,https://drive.google.com/open?id=1kQywiYI87PDPOQZbHY7Wy5G0DQ9a7mfr,Adidas,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",3890
1982,2024/11/6 下午 8:36:02,https://drive.google.com/open?id=1P2Ojl2-Wu8JbCgZf0n_qe1pd8wfO4bcr,Puma,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",2280
1983,2024/11/6 下午 8:36:10,https://drive.google.com/open?id=1xDl3NT3XEwx7egnmwZvfEhhY5vMwrvHv,PAZZO,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",790
1984,2024/11/6 下午 8:36:29,https://drive.google.com/open?id=1-qxj5Cq7V1BuTUEmJn2w34QTnKrB_h2L,PAZZO,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",790
1985,2024/11/6 下午 8:36:38,https://drive.google.com/open?id=10hTZKvFjqn13tMU5sE_FW5UeaqmvIlv5,Adidas,長 long,上半身 Top,毛衣、針織衣 Sweater,,3990
1986,2024/11/6 下午 8:36:53,https://drive.google.com/open?id=1dWM0MfNo0ThZ-Xm0QrBaugvI8vK8K-WT,Puma,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",2280
1987,2024/11/6 下午 8:37:10,https://drive.google.com/open?id=1j06j_X_Koj5yBDra4v9fhQo2TGbROeaQ,PAZZO,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 西裝褲、裙 dress pants、skirt, 褲子 pants",790
1988,2024/11/6 下午 8:37:13,https://drive.google.com/open?id=1L2Ei0abbTUyZZ7thAI47LRaRxIc6gKU5,Under Armour,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 緊身褲 leggings, 褲子 pants",980
1989,2024/11/6 下午 8:37:46,https://drive.google.com/open?id=1M2dL3W98SLPgLmCkWLrq0y56Mev1ggrz,Puma,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 裙子 skirt",1580
1990,2024/11/6 下午 8:38:31,https://drive.google.com/open?id=1e5BxUCwuUp4V7mVJGgMgC5HXRYrVHLHk,Puma,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",2880
1991,2024/11/6 下午 8:38:45,https://drive.google.com/open?id=1vUOmwj6ULIIDzO0nPw54BET3hJgBt8Zk,PAZZO,長 long,下半身 Bottom,,"緊身褲 leggings, 褲子 pants",499
1992,2024/11/6 下午 8:38:59,https://drive.google.com/open?id=1engQCXRhxr9HAMAwboOdFWx29Bmni5Gy,Adidas,長 long,上半身 Top,T-Shirt,,1990
1993,2024/11/6 下午 8:38:59,https://drive.google.com/open?id=1nHNWd-ZbuBekjJueyMOCp3Nh3XYGx4Zw,Under Armour,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 緊身褲 leggings, 褲子 pants",980
1994,2024/11/6 下午 8:39:04,https://drive.google.com/open?id=1b3v0Z8GoG7hY57xoM9DmygNgJwGfj7ar,PAZZO,長 long,下半身 Bottom,,"緊身褲 leggings, 褲子 pants",499
1995,2024/11/6 下午 8:39:13,https://drive.google.com/open?id=1Xck0I77WBSA_w0jMip17hMKdf_E242v4,Puma,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",4580
1996,2024/11/6 下午 8:39:37,https://drive.google.com/open?id=1PxFsCl2Piidk1HaDBMdoqELIoSvb9CWy,Under Armour,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 緊身褲 leggings, 褲子 pants",1180
1997,2024/11/6 下午 8:39:50,https://drive.google.com/open?id=17PRY8IAGO4KDHXMNQyqU4LvgLARyRuj0,PAZZO,長 long,下半身 Bottom,,"緊身褲 leggings, 褲子 pants",790
1998,2024/11/6 下午 8:40:20,https://drive.google.com/open?id=1DORHfQJE3YeygBCmOfSHgOgvyAGknKaR,PAZZO,短 short,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 裙子 skirt",590
1999,2024/11/6 下午 8:40:24,https://drive.google.com/open?id=1FRjhWUdDIHITMOFMxwYQ9hYXEqNwjLNg,Puma,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",2180
2000,2024/11/6 下午 8:41:03,https://drive.google.com/open?id=1zbWYNgf9Nh67xrYNTiPtaEqu74zJjhcn,Puma,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",2680
2001,2024/11/6 下午 8:41:10,https://drive.google.com/open?id=1wwERkb-MiS0RTic2c0Usv9j-dz3VUUuZ,Adidas,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1090
2002,2024/11/6 下午 8:41:13,https://drive.google.com/open?id=1lJQVyhoRpvfTGNdh_mGOPKDxH6BidddT,PAZZO,長 long,下半身 Bottom,,"緊身褲 leggings, 褲子 pants",690
2003,2024/11/6 下午 8:41:32,https://drive.google.com/open?id=1iN2-mlKC2xWlB78LYFXxuzkTZMyIVH5i,PAZZO,長 long,下半身 Bottom,,"緊身褲 leggings, 褲子 pants",690
2004,2024/11/6 下午 8:41:35,https://drive.google.com/open?id=1cIDGuoV7TmHf6V-ekcT-MuK5liF5aoym,Puma,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",2680
2005,2024/11/6 下午 8:42:23,https://drive.google.com/open?id=1O9oHsVFivpA5KgIa-faZe07LTsTgFjm9,Puma,長 long,下半身 Bottom,,"緊身褲 leggings, 褲子 pants",1980
2006,2024/11/6 下午 8:43:18,https://drive.google.com/open?id=1uJh0GAN2ToIs3CU-DfhFym8R6McFsZbR,Puma,長 long,下半身 Bottom,,"緊身褲 leggings, 褲子 pants",1980
2007,2024/11/6 下午 8:44:01,https://drive.google.com/open?id=19Z9lpHdqzOqKlMzpye3UFtow7BMSYevV,Puma,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",1980
2008,2024/11/6 下午 8:46:39,https://drive.google.com/open?id=1uaTxmp31tk7pf3pr-XP2pS-motNsQyY2,PAZZO,長 long,上半身 Top,T-Shirt,,790
2009,2024/11/6 下午 8:46:43,https://drive.google.com/open?id=1NpHWPIU8FaDUQ9CUK6azKAD-oRhV5mjB,Adidas,長 long,上半身 Top,T-Shirt,,2490
2010,2024/11/6 下午 8:46:57,https://drive.google.com/open?id=1FkA8PR8TqocP0FD1FsgtSrnF6hCwBtjk,PAZZO,長 long,上半身 Top,T-Shirt,,790
2011,2024/11/6 下午 8:47:14,https://drive.google.com/open?id=12wRr7mBeQ3PyHcdRouHgTNg8gPes_elm,PAZZO,長 long,上半身 Top,T-Shirt,,790
2012,2024/11/6 下午 8:47:49,https://drive.google.com/open?id=1UwP1z5usvdllUgj12ClvcXIpLOCxJLQX,Adidas,長 long,上半身 Top,T-Shirt,,2490
2013,2024/11/6 下午 8:48:15,https://drive.google.com/open?id=1Kk2MY2Z6c94ONoQv-Ouchkc2vhN52TQT,PAZZO,短 short,上半身 Top,背心 Vest,,490
2014,2024/11/6 下午 8:48:32,https://drive.google.com/open?id=1zG_z-lKw7W-tE1iQnY06D9k9Gwh8d-TA,PAZZO,短 short,上半身 Top,背心 Vest,,490
2015,2024/11/6 下午 8:48:49,https://drive.google.com/open?id=1IAm7EsHzh6fxeCiVyX12A6FqfaB4wUQC,PAZZO,短 short,上半身 Top,背心 Vest,,490
2016,2024/11/6 下午 8:49:05,https://drive.google.com/open?id=1UAq1kNgKlbP5ajVdG4Ok3pe2IsvmCmUq,Adidas,長 long,下半身 Bottom,,"牛仔褲/裙 jeans / demi skirt, 褲子 pants",3890
2017,2024/11/6 下午 8:49:06,https://drive.google.com/open?id=18bHkpWNAmV_F7jpyaOLTn72YKfICa_E8,PAZZO,短 short,上半身 Top,背心 Vest,,490
2018,2024/11/6 下午 8:50:04,https://drive.google.com/open?id=1M7a7P_Ev65wcI5HLgA0VZWoEB5Y6Xp-V,Adidas,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",3690
2019,2024/11/6 下午 8:51:09,https://drive.google.com/open?id=1Bv08VX63z74G15DiUb_Io1UYv-CMIJYs,Adidas,長 long,上半身 Top,T-Shirt,,3090
2020,2024/11/6 下午 8:51:49,https://drive.google.com/open?id=1VblCMKdlW3d2mvFxO9oqOw92TZeNbtBs,PAZZO,長 long,上半身 Top,T-Shirt,,690
2021,2024/11/6 下午 8:51:58,https://drive.google.com/open?id=11sswD1hHE5A9pZt6AQTiOCr2ZVcFQ_ko,Adidas,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",1990
2022,2024/11/6 下午 8:52:02,https://drive.google.com/open?id=1GwuIPfauk61jxlXmiE0dNGVUbXlHcgCW,Puma,短 short,上半身 Top,T-Shirt,,880
2023,2024/11/6 下午 8:52:06,https://drive.google.com/open?id=1_VEliW2jPsZNUkF7NFvcn_Zz-5TKJ9DI,PAZZO,長 long,上半身 Top,T-Shirt,,690
2024,2024/11/6 下午 8:52:25,https://drive.google.com/open?id=1uQ9zx4KSHieY_ChR55ms9q43r_xPeH47,PAZZO,長 long,上半身 Top,T-Shirt,,690
2025,2024/11/6 下午 8:52:33,https://drive.google.com/open?id=15bb1YK50k3sdHaryq0U6PbzbPJIsv6cQ,Under Armour,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 緊身褲 leggings, 褲子 pants",1580
2026,2024/11/6 下午 8:52:40,https://drive.google.com/open?id=1ILsgL9Snzf39b4xK2AVbUjE3S87xEGET,Puma,長 long,上半身 Top,"Shirt, 外套 Jacket",,2380
2027,2024/11/6 下午 8:53:08,https://drive.google.com/open?id=1D7tmMXCNN30qwJ7QZq_U1Mba4ofdcPkv,Adidas,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",3800
2028,2024/11/6 下午 8:53:27,https://drive.google.com/open?id=1ZtPEBR1lH9bmrwKSm1vyrrlgoelcFrgg,Puma,長 long,上半身 Top,T-Shirt,,1180
2029,2024/11/6 下午 8:53:31,https://drive.google.com/open?id=1sfIBiFrFPfnjjG9KvgCZxq2xMwEdgZyf,PAZZO,長 long,上半身 Top,T-Shirt,,590
2030,2024/11/6 下午 8:53:49,https://drive.google.com/open?id=1gKUGYR8SCUeFnp_ncvtAEb5PXSIXPeWz,PAZZO,長 long,上半身 Top,T-Shirt,,590
2031,2024/11/6 下午 8:54:14,https://drive.google.com/open?id=14badiuAuI3pxT24tV-b2SLAoz-9nv5c9,PAZZO,長 long,上半身 Top,T-Shirt,,590
2032,2024/11/6 下午 8:54:24,https://drive.google.com/open?id=15nUNAVp1OPlAncvIdiprKzXNWfT4F606,Puma,長 long,上半身 Top,"外套 Jacket, 毛衣、針織衣 Sweater",,3080
2033,2024/11/6 下午 8:54:30,https://drive.google.com/open?id=1q2B57omPrq_2OiaCRFGuX5PdK-ADZNO5,Adidas,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie",,2890
2034,2024/11/6 下午 8:54:31,https://drive.google.com/open?id=1rngx60yK3mw1hN0FpZ_21bXKQxHKLAlk,PAZZO,長 long,上半身 Top,T-Shirt,,590
2035,2024/11/6 下午 8:54:53,https://drive.google.com/open?id=1hfoafkFf7MRS7g5Knx1m09hYu36EiaOn,Under Armour,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 緊身褲 leggings, 褲子 pants",980
2036,2024/11/6 下午 8:55:14,https://drive.google.com/open?id=1p3igO59yuMWo4rwfifooFDNSEct-6jXe,Adidas,短 short,上半身 Top,T-Shirt,,1490
2037,2024/11/6 下午 8:55:28,https://drive.google.com/open?id=16SbXjWOprzo7TwbgB94cZ7NhqwrOZYiK,Puma,長 long,上半身 Top,"外套 Jacket, 毛衣、針織衣 Sweater",,3080
2038,2024/11/6 下午 8:55:45,https://drive.google.com/open?id=16YB8zkdTDpGLBYykqgUienKRtv5JDQ5m,PAZZO,短 short,上半身 Top,背心 Vest,,590
2039,2024/11/6 下午 8:55:55,https://drive.google.com/open?id=14-KE_O6Thlh83HkSx1F0qa8EbhH2A1am,Under Armour,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 緊身褲 leggings, 褲子 pants",1880
2040,2024/11/6 下午 8:55:58,https://drive.google.com/open?id=177ocZ40ifeXc7OcWRIQxLeQt6wrs9yyT,Puma,短 short,上半身 Top,T-Shirt,,980
2041,2024/11/6 下午 8:56:26,https://drive.google.com/open?id=1r63k14k_zK94eLqj6W6aMXYvJuZ1_2RI,PAZZO,短 short,上半身 Top,背心 Vest,,590
2042,2024/11/6 下午 8:56:38,https://drive.google.com/open?id=15LMpmlQ5MwyOTLxFj32gndSpPFtv09Zz,Adidas,短 short,上半身 Top,T-Shirt,,1490
2043,2024/11/6 下午 8:56:44,https://drive.google.com/open?id=1lqKnNJNcEvTtgCTCjZNrIRu27chRmuz-,PAZZO,短 short,上半身 Top,背心 Vest,,590
2044,2024/11/6 下午 8:56:50,https://drive.google.com/open?id=1B27swlGZKW-j2qXMl32_Aub4HR1l7MjO,Under Armour,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 緊身褲 leggings, 褲子 pants",1780
2045,2024/11/6 下午 8:56:56,https://drive.google.com/open?id=1dKgtg5yAG659DoJrvQ61RoZzxE44O6w-,Puma,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1280
2046,2024/11/6 下午 8:57:02,https://drive.google.com/open?id=1slz26rUG8F0Jpnr5w_WvA606Z10Dmzfo,PAZZO,短 short,上半身 Top,背心 Vest,,590
2047,2024/11/6 下午 8:57:20,https://drive.google.com/open?id=1I5V5hqQgYW2fKzbkJHthxBogoQ7xp8Cz,PAZZO,短 short,上半身 Top,背心 Vest,,590
2048,2024/11/6 下午 8:57:31,https://drive.google.com/open?id=1S3xrdMULqPYQh2VeYTyZatNgKNMoDQG8,Under Armour,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 緊身褲 leggings, 褲子 pants",1180
2049,2024/11/6 下午 8:57:36,https://drive.google.com/open?id=1jzU-rCjI0AxqlnxlsyJisICUFlG0lTWY,Puma,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1280
2050,2024/11/6 下午 8:57:37,https://drive.google.com/open?id=1HhcGPbedjQnF_pOrfTzwP5WE8qXU_DGU,PAZZO,短 short,上半身 Top,背心 Vest,,590
2051,2024/11/6 下午 8:57:37,https://drive.google.com/open?id=1kfXgl59PpdFZ5E0VZouPhMz7PJmPAjE2,Adidas,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie",,2490
2052,2024/11/6 下午 8:58:13,https://drive.google.com/open?id=1YX23DYyBPtoiXuKPe7wlwb1eqaZfz5KX,Under Armour,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 緊身褲 leggings, 褲子 pants",1980
2053,2024/11/6 下午 8:58:26,https://drive.google.com/open?id=1fUmaYSXnIcsghzhxmLu3dPnT-DQUSJRf,Puma,長 long,上半身 Top,"毛衣、針織衣 Sweater, 運動材質 Sport Tops",,2680
2054,2024/11/6 下午 8:58:35,https://drive.google.com/open?id=16272VVtoe5m_8QKoDfQJmHXRGfOqqGC4,PAZZO,短 short,上半身 Top,背心 Vest,,590
2055,2024/11/6 下午 8:58:52,https://drive.google.com/open?id=1C-hFYBOo8ESq1itATnD8KQvckInCo7qk,PAZZO,短 short,上半身 Top,背心 Vest,,590
2056,2024/11/6 下午 8:59:11,https://drive.google.com/open?id=1JNDL5PgRCs0k4gNZxmFXu70uMI2wqMer,PAZZO,短 short,上半身 Top,背心 Vest,,590
2057,2024/11/6 下午 8:59:16,https://drive.google.com/open?id=11rRdYO-jIuJcJQhG96FdHbDAPRisvkFQ,Puma,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1280
2058,2024/11/6 下午 8:59:43,https://drive.google.com/open?id=1raPLf--gPZc5ioOddNCXEkSLnY0xTTCk,PAZZO,短 short,上半身 Top,背心 Vest,,590
2059,2024/11/6 下午 9:00:00,https://drive.google.com/open?id=17ywSVKG1ALmKKYcMmg2xOFh08-Owpw_o,Puma,長 long,上半身 Top,外套 Jacket,,2680
2060,2024/11/6 下午 9:00:02,https://drive.google.com/open?id=1OMnzqJidrrO0YlZskb8Uo3L6zh-9Ja4F,PAZZO,短 short,上半身 Top,背心 Vest,,590
2061,2024/11/6 下午 9:00:19,https://drive.google.com/open?id=1fmRNs3QeXl4HH1zKgH3i9JBJP4agfobk,PAZZO,短 short,上半身 Top,背心 Vest,,590
2062,2024/11/6 下午 9:00:37,https://drive.google.com/open?id=1BngbXgZOWFnun0An_ba2C9xs9s33qqk7,PAZZO,短 short,上半身 Top,背心 Vest,,590
2063,2024/11/6 下午 9:00:39,https://drive.google.com/open?id=16ct_2ZgKGttePczoQ72RFzJgti_4j9Bj,Puma,短 short,上半身 Top,T-Shirt,,1080
2064,2024/11/6 下午 9:00:51,https://drive.google.com/open?id=1U0IbyIOKMMe0IYuS83r17Y1iwG9hWWO8,Adidas,短 short,上半身 Top,"背心 Vest, 運動材質 Sport Tops",,1290
2065,2024/11/6 下午 9:01:15,https://drive.google.com/open?id=1nA2b13xhk27EbQCDg99ewZtydH3ZfllM,Puma,短 short,上半身 Top,T-Shirt,,1080
2066,2024/11/6 下午 9:01:26,https://drive.google.com/open?id=1RJMn5vm8JN9ixV8oIYtLSnaCq8-Wrpap,PAZZO,短 short,上半身 Top,背心 Vest,,590
2067,2024/11/6 下午 9:01:43,https://drive.google.com/open?id=1cg83OPPcjih77LHUckmHOb7yF7ZnvHod,PAZZO,短 short,上半身 Top,背心 Vest,,590
2068,2024/11/6 下午 9:01:52,https://drive.google.com/open?id=19PCdJXxsopT8NPL2YnK_FOSND9wFKLri,Puma,長 long,上半身 Top,外套 Jacket,,3280
2069,2024/11/6 下午 9:02:00,https://drive.google.com/open?id=1Z1t6Q1fWYbvvA7500nevM0sSdQ2kDwor,PAZZO,短 short,上半身 Top,背心 Vest,,590
2070,2024/11/6 下午 9:02:02,https://drive.google.com/open?id=1z_wxY6jKiiukh107sjvfrOhDSpNImIBk,Adidas,短 short,上半身 Top,"背心 Vest, 運動材質 Sport Tops",,1290
2071,2024/11/6 下午 9:02:19,https://drive.google.com/open?id=1Y8fSqxHlPcqzb7DIawQ6khOO61yF9o2g,PAZZO,短 short,上半身 Top,背心 Vest,,590
2072,2024/11/6 下午 9:02:37,https://drive.google.com/open?id=1YRqJiz83vCvvhZbshs9KLkq55DrEfWHz,PAZZO,短 short,上半身 Top,背心 Vest,,590
2073,2024/11/6 下午 9:02:55,https://drive.google.com/open?id=1Pm9aAmtS387Napg18Q2u4Yhi89FNKric,Adidas,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie",,4890
2074,2024/11/6 下午 9:02:55,https://drive.google.com/open?id=1sMSvZ2wWGOiIjeqlis_zs77IkeU_stSz,PAZZO,短 short,上半身 Top,背心 Vest,,590
2075,2024/11/6 下午 9:02:59,https://drive.google.com/open?id=1qEnwnBjdi08oqfkI6HtOrCnnVrAHAQJU,Puma,短 short,上半身 Top,T-Shirt,,1180
2076,2024/11/6 下午 9:03:13,https://drive.google.com/open?id=13Gt2nqFR8x2P10QsRbzI7mocZxQJOd1q,PAZZO,短 short,上半身 Top,背心 Vest,,590
2077,2024/11/6 下午 9:03:31,https://drive.google.com/open?id=106ITRoR_qYK8OUH0GcB3LP8RhhqOAeaT,PAZZO,短 short,上半身 Top,背心 Vest,,590
2078,2024/11/6 下午 9:03:32,https://drive.google.com/open?id=1aeSMwCevUbBfS3-j6GryQFNn-yc9gCAa,Puma,短 short,上半身 Top,"背心 Vest, 運動材質 Sport Tops",,880
2079,2024/11/6 下午 9:03:41,https://drive.google.com/open?id=11ScHpQEQoxJ0QjXeRl27OoAeQhKLwi3K,Under Armour,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie, 運動材質 Sport Tops",,2980
2080,2024/11/6 下午 9:03:59,https://drive.google.com/open?id=1lkCRpnUMoiY2q38dcVVNKboZ8VR4P0-6,Adidas,長 long,上半身 Top,"外套 Jacket, 運動材質 Sport Tops",,4290
2081,2024/11/6 下午 9:04:02,https://drive.google.com/open?id=12bgP9nEgVU2cuzMZinTytqKKve-OFwvu,Puma,短 short,上半身 Top,"背心 Vest, 運動材質 Sport Tops",,880
2082,2024/11/6 下午 9:04:11,https://drive.google.com/open?id=1J0XtEKAtmZN2fztMzYDMvPJx6TJPfUwN,PAZZO,短 short,上半身 Top,背心 Vest,,590
2083,2024/11/6 下午 9:04:28,https://drive.google.com/open?id=19gR7O0SPaLdU15znahu1Z2pY46p3_ee1,PAZZO,短 short,上半身 Top,背心 Vest,,590
